amount,club,rnd,state
33932,Home Hill Tennis Association,2,QLD
500000,Ipswich City Council,2,QLD
280732,Jimboomba Branch Little Athletics,2,QLD
141442,Jimboomba Netball Association Inc.,2,QLD
264618,Logan Basketball Inc,2,QLD
50000,Malanda Horse And Pony Club,2,QLD
200000,Maleny Golf Club Inc,2,QLD
150000,Maroochydore Football Club Incorporated,2,QLD
426300,Maryborough And District Hockey Association,2,QLD
89496,Middlemount Golf & Country Club,2,QLD
199712,Moreton Bay United Football Club,2,QLD
398497,Mount Isa Amatuer Netball Association Incorporation,2,QLD
14788,Mount Petrie Bowmen Inc,2,QLD
187686,Mt Gravatt Australian Rules Football Club,2,QLD
150395,North Brisbane Fc,2,QLD
187700,Northern Beaches United Football Club,2,QLD
369991,Palm Island Aboriginal Shire Council,2,QLD
50000,Pioneer Tennis Inc,2,QLD
16400,Rochedale Rovers Fc Inc,2,QLD
22000,Slade Point Rugby Club,2,QLD
317923,Squash Aystralia Pty Ltd.,2,QLD
160000,St Catherine'S United Football Club Inc,2,QLD
160531,Surfers Paradise Golf Club Limited,2,QLD
4431,Taroom Pony Club,2,QLD
149800,Tennis Gold Coast Inc,2,QLD
484783,Victoria Point Sharks Sporting Club,2,QLD
318893,Warwick And District Netball Association,2,QLD
180514,Wide Bay Gymnastics Club Incorporated,2,QLD
7000,Artworks Granite Belt,3,QLD
56820,Ballinger Park Tennis Club,3,QLD
14556,Beaudesert Bowls Club Inc,3,QLD
50000,Beenleigh Multisports Association,3,QLD
195000,Beenleigh Multisports Association,3,QLD
458994,Bundaberg Rowing Club,3,QLD
500000,Caboolture Sports Club Limited,3,QLD
418500,Cairns Cycling Club,3,QLD
50000,Chinchilla Squash Club Inc.,3,QLD
80000,Gayndah Swimming Club Inc,3,QLD
500000,Grange Thistle Soccer Club,3,QLD
181000,Granville Hockey Club Inc.,3,QLD
50000,Ipswich Basketball Association Inc,3,QLD
200000,Jandowae And District Tennis Association Incorporated,3,QLD
16000,Kandanga Country Club Inc,3,QLD
50000,Lockyer Valley Regional Council,3,QLD
46897,Lowood And District Memorial Bowls Club Inc,3,QLD
491260,Mackay Brothers Football Club Inc,3,QLD
151868,Maroochydore Tennis Club,3,QLD
45000,Mountain Creek Mooloolaba Swimming Club,3,QLD
199982,North Star Football Association Inc.,3,QLD
27000,Pine Central Holy Spirit Rugby League Football Club Inc,3,QLD
50000,Pomona Bowls Club,3,QLD
101584,Queens Cricket Club Incorporated,3,QLD
92334,Redlands United Football Club,3,QLD
420000,Somerset Regional Council,3,QLD
44840,South Western Metro Basketball Inc,3,QLD
135949,Sunnybank Saints Soccer Club Inc,3,QLD
500000,Sunshine Coast Regional Council,3,QLD
66885,Tamborine Pony Club Inc.,3,QLD
500000,The Redcliffe District Rugby League Football Club Incorporated,3,QLD
387400,Toowong Football Club Inc.,3,QLD
497000,Townsville Basketball Inc,3,QLD
96966,Tweed Heads And Coolangatta Surf Lifesaving Club,3,QLD
146200,Yeppoon Swans Afl Club,3,QLD
45870,Baptist Care (Sa) Incorporated,1,SA
456140,Blackwood Football Club Incorporated,1,SA
250000,City Of Port Adelaide Enfield,1,SA
500000,City Of Tea Tree Gully,1,SA
50000,Clare Motorcycle Club Inc,1,SA
22182,Crystal Brook Junior Basketball Club Inc,1,SA
18200,Glenelg District Cricket Club,1,SA
50000,Greenock Cricket Club,1,SA
12500,Hahndorf Bowling Club Inc,1,SA
500000,Hectorville Sports And Community Club,1,SA
422420,Kadina Hockey Club Incorporated,1,SA
50000,Peake Gardens Riverside Tennis Club,1,SA
500000,Renmark Paringa Council,1,SA
48000,Rsmu Netball Club,1,SA
500000,South Australian Cricket Association Limited,1,SA
171511,South Australian National Football League Inc (Sanfl),1,SA
8342,Sunnybrae Pony Club Incorporated,1,SA
30000,The Cove Bmx Club Incorporated,1,SA
50000,The Royal Adelaide Golf Club,1,SA
115000,Victor Harbor Football Club Inc.,1,SA
8000,Wheelchair Sports Association Of South Australia Inc.,1,SA
154011,Burnside Lacrosse Club Incorporated,2,SA
320200,City Of Playford,2,SA
151600,City Of Prospect,2,SA
396466,Corporation Of The City Of Marion,2,SA
200000,Glenunga Tennis Club Inc,2,SA
124000,Goodwood Saints Football Club,2,SA
45000,Lock And Districts Swimming Centre,2,SA
40000,Millicent Football Netball Club Inc,2,SA
50000,Mount Crawford Dressage Club Incorporated,2,SA
35000,Murray Bridge Lawn Tennis Association Inc,2,SA
80000,Naracoorte United Soccer Club,2,SA
43000,Parndana Sports Club Inc.,2,SA
2500,Perponda Sports Club,2,SA
78800,Port Adelaide District Baseball Club,2,SA
14524,Port Macdonnell And District Bowling Club Inc,2,SA
47689,Sa Field And Game Association - Southern Branch,2,SA
65000,Semaphore Bowling Club,2,SA
385000,Sturt District Cricket Club Inc (Sdcc),2,SA
200000,Sturt Lions Football Club,2,SA
400000,Willunga Recreation Park Incorporated (Wrpi),2,SA
113148,Wirrabara Sporting Reserve Committee,2,SA
7000,Wudinna Tennis Club,2,SA
