,amount,club,rnd,state,address,lat,lng,name,types,electorate
53,48000,Willow Tree Bowling Club,1,NSW,"66 Pryor St, Quirindi NSW 2343, Australia",-31.5066547,150.6824389,Quirindi Bowling Club,"point_of_interest,establishment",New England
54,50000,Wollongong Wolves Football Club Ltd,1,NSW,"32 Waverley Dr, Unanderra NSW 2526, Australia",-34.4589797,150.8431938,Wollongong Wolves,"point_of_interest,establishment",Whitlam
55,70000,Woollahra Municipal Council,1,NSW,"Woollahra, NSW, Australia",-33.8815526,151.2393885,Woollahra,"administrative_area_level_2,political",Wentworth
56,500000,Yass Valley Council,1,NSW,"Yass Valley, NSW, Australia",-34.9445333,148.8289611,Yass Valley,"administrative_area_level_2,political",Eden-Monaro
57,50000,Armidale Tennis Club,2,NSW,"Armidale NSW 2350, Australia",-30.5122019,151.6366388,Armidale Tennis Club,"point_of_interest,establishment",New England
58,50000,Bathurst Regional Council,2,NSW,"Bathurst NSW 2795, Australia",-33.4192822,149.5775008,Bathurst,"colloquial_area,locality,political",Calare
59,50000,Black Range Pony Club,2,NSW,"Black Range Pony Club, Thurgoona NSW 2640, Australia",-36.048957,146.9731743,Black Range Pony Club,route,Farrer
60,180000,Blacktown City Council,2,NSW,"Blacktown, NSW, Australia",-33.7447255,150.8841983,Blacktown,"administrative_area_level_2,political",Chifley
61,175000,Blue Mountains City Council,2,NSW,"Blue Mountains, NSW, Australia",-33.7322586,150.4428323,Blue Mountains,"administrative_area_level_2,political",Macquarie
62,26000,Blue Mountains District Rugby Football Club,2,NSW,"Levy St & Barnet St, Glenbrook NSW 2773, Australia",-33.7615732,150.6261694,Blue Mountains Football Club Inc,"point_of_interest,establishment",Macquarie
63,19900,Blue Mountains District Rugby Football Club,2,NSW,"Levy St & Barnet St, Glenbrook NSW 2773, Australia",-33.7615732,150.6261694,Blue Mountains Football Club Inc,"point_of_interest,establishment",Macquarie
64,55455,Bowral Rugby Club,2,NSW,"Wirreanda Rd, Burradoo NSW 2576, Australia",-34.5154674,150.4036216,Bowral Rugby Club,"point_of_interest,establishment",Whitlam
65,125000,Bradman Foundation,2,NSW,"9/11 St Jude St, Bowral NSW 2576, Australia",-34.4822117,150.425048,Bradman Oval,"point_of_interest,establishment",Whitlam
66,330321,Burwood Council,2,NSW,"Burwood, NSW, Australia",-33.8868355,151.0995447,Burwood,"administrative_area_level_2,political",Reid
67,150000,Central Coast Council,2,NSW,"Central Coast Council, NSW, Australia",-33.3208415,151.2335592,Central Coast Council,"administrative_area_level_2,political",Robertson
68,485000,Central Coast Council,2,NSW,"Central Coast Council, NSW, Australia",-33.3208415,151.2335592,Central Coast Council,"administrative_area_level_2,political",Robertson
69,105500,Charity Bounce,2,NSW,"Suite 5/1/20A Danks St, Waterloo NSW 2017, Australia",-33.897973,151.210045,Charity Bounce,"point_of_interest,establishment",Sydney
70,500000,Clarence Valley Council,2,NSW,"Clarence Valley, NSW, Australia",-29.878388,152.6383524,Clarence Valley,"administrative_area_level_2,political",Page
71,400000,Coffs Harbour City Council,2,NSW,"Coffs Harbour, NSW, Australia",-30.1861005,153.0618566,Coffs Harbour,"administrative_area_level_2,political",Page
72,117396,East Molong Tennis Club,2,NSW,"Euchareena Rd, Molong NSW 2866, Australia",-33.0911717,148.8731428,Molong Bowling Club,"point_of_interest,establishment",Calare
73,184000,Eastwood Thornleigh District Tennis Association,2,NSW,"25 Britannia St, Pennant Hills NSW 2120, Australia",-33.7446321,151.0824062,Eastwood-Thornleigh District Tennis Association,"point_of_interest,establishment",Berowra
74,30000,Helensburgh Horse And Pony Club,2,NSW,"Walker St, Helensburgh NSW 2508, Australia",-34.18742599999999,150.982156,"Helensburgh Netball Club, NSW, Australia","point_of_interest,establishment",Cunningham
75,50000,Howlong Pony Club,2,NSW,"100 Corrys Rd, Thurgoona NSW 2640, Australia",-36.0518867,146.9676441,Wirlinga & District Pony Club,"point_of_interest,establishment",Farrer
76,191670,Hume Tennis Club,2,NSW,"225 Marathon Blvd, Craigieburn VIC 3064, Australia",-37.5834076,144.9030833,Hume Tennis & Community Centre,"point_of_interest,establishment",McEwen
77,500000,Inner West Council,2,NSW,"Inner West Council, NSW, Australia",-33.8924403,151.1438073,Inner West Council,"administrative_area_level_2,political",Grayndler
78,75000,Liverpool Golf Club Ltd,2,NSW,"Hollywood Dr, Lansvale NSW 2166, Australia",-33.9054708,150.9686708,Liverpool Golf Club,"school,health,point_of_interest,establishment",Fowler
79,100000,Maryland Fletcher Football Club,2,NSW,"23 Boscawen St, Wallsend NSW 2287, Australia",-32.8994114,151.670384,Fletcher Football Club,"point_of_interest,establishment",Newcastle
80,125500,Medowie Netball Club C/O Medowie Sports Council,2,NSW,"36 Ferodale Rd, Medowie NSW 2318, Australia",-32.7423767,151.8591662,Ferodale Netball Courts,"point_of_interest,establishment",Paterson
81,50000,Mollymook Outrigger Canoe Club,2,NSW,"Belmore Basin, Cliff Rd, Wollongong NSW 2500, Australia",-34.4220232,150.9051148,Five Islands Outrigger Canoe Club Inc.,"point_of_interest,establishment",Cunningham
82,11599,Moorebank Sports Club,2,NSW,"230 Heathcote Rd, Hammondville NSW 2170, Australia",-33.955374,150.956761,Moorebank Sports Club,"cafe,restaurant,food,point_of_interest,establishment",Hughes
83,105000,Moruya Golf Club,2,NSW,"Evans St, Moruya NSW 2537, Australia",-35.913861,150.075573,Moruya Golf Club,"restaurant,food,school,health,point_of_interest,establishment",Gilmore
84,200000,Mullimbimby Brunswick Valley Football Club,2,NSW,"Pine Ave, Mullumbimby NSW 2482, Australia",-28.5507057,153.4921329,MBVFC,"point_of_interest,establishment",Richmond
85,135500,North Sydney Council,2,NSW,"North Sydney, NSW, Australia",-33.8346929,151.2160726,North Sydney,"administrative_area_level_2,political",Warringah
